lag,intensity
0,0
0,0.09647095768025092
0,0.19294191536050184
0,0.28941287304075275
0,0.3858838307210037
0,0.4823547884012546
0,0.5788257460815055
0,0.6752967037617564
0,0.7717676614420074
0,0.8682386191222583
0,0.9647095768025092
0,1.06118053448276
0,1.157651492163011
0,1.254122449843262
0,1.3505934075235129
0,1.4470643652037638
0,1.5435353228840147
0,1.6400062805642657
0,1.7364772382445166
0,1.8329481959247675
0,1.9294191536050185
0,2.0258901112852694
0,2.12236106896552
0,2.2188320266457713
0,2.315302984326022
0,2.411773942006273
0,2.508244899686524
0,2.604715857366775
0,2.7011868150470257
0,2.797657772727277
3,0
3,0.09647095768025092
3,0.19294191536050184
3,0.28941287304075275
3,0.3858838307210037
3,0.4823547884012546
3,0.5788257460815055
3,0.6752967037617564
3,0.7717676614420074
3,0.8682386191222583
3,0.9647095768025092
3,1.06118053448276
3,1.157651492163011
3,1.254122449843262
3,1.3505934075235129
3,1.4470643652037638
3,1.5435353228840147
3,1.6400062805642657
3,1.7364772382445166
3,1.8329481959247675
3,1.9294191536050185
3,2.0258901112852694
3,2.12236106896552
3,2.2188320266457713
3,2.315302984326022
3,2.411773942006273
3,2.508244899686524
3,2.604715857366775
3,2.7011868150470257
3,2.797657772727277
6,0
6,0.09647095768025092
6,0.19294191536050184
6,0.28941287304075275
6,0.3858838307210037
6,0.4823547884012546
6,0.5788257460815055
6,0.6752967037617564
6,0.7717676614420074
6,0.8682386191222583
6,0.9647095768025092
6,1.06118053448276
6,1.157651492163011
6,1.254122449843262
6,1.3505934075235129
6,1.4470643652037638
6,1.5435353228840147
6,1.6400062805642657
6,1.7364772382445166
6,1.8329481959247675
6,1.9294191536050185
6,2.0258901112852694
6,2.12236106896552
6,2.2188320266457713
6,2.315302984326022
6,2.411773942006273
6,2.508244899686524
6,2.604715857366775
6,2.7011868150470257
6,2.797657772727277
9,0
9,0.09647095768025092
9,0.19294191536050184
9,0.28941287304075275
9,0.3858838307210037
9,0.4823547884012546
9,0.5788257460815055
9,0.6752967037617564
9,0.7717676614420074
9,0.8682386191222583
9,0.9647095768025092
9,1.06118053448276
9,1.157651492163011
9,1.254122449843262
9,1.3505934075235129
9,1.4470643652037638
9,1.5435353228840147
9,1.6400062805642657
9,1.7364772382445166
9,1.8329481959247675
9,1.9294191536050185
9,2.0258901112852694
9,2.12236106896552
9,2.2188320266457713
9,2.315302984326022
9,2.411773942006273
9,2.508244899686524
9,2.604715857366775
9,2.7011868150470257
9,2.797657772727277
12,0
12,0.09647095768025092
12,0.19294191536050184
12,0.28941287304075275
12,0.3858838307210037
12,0.4823547884012546
12,0.5788257460815055
12,0.6752967037617564
12,0.7717676614420074
12,0.8682386191222583
12,0.9647095768025092
12,1.06118053448276
12,1.157651492163011
12,1.254122449843262
12,1.3505934075235129
12,1.4470643652037638
12,1.5435353228840147
12,1.6400062805642657
12,1.7364772382445166
12,1.8329481959247675
12,1.9294191536050185
12,2.0258901112852694
12,2.12236106896552
12,2.2188320266457713
12,2.315302984326022
12,2.411773942006273
12,2.508244899686524
12,2.604715857366775
12,2.7011868150470257
12,2.797657772727277
