Datetime,CO2,period
2003-01-01,32.779392,2003–2015
2003-02-01,30.750902,2003–2015
2003-03-01,31.97603,2003–2015
2003-04-01,33.472435,2003–2015
2003-05-01,40.061775,2003–2015
2003-06-01,49.132572,2003–2015
2003-07-01,53.39493,2003–2015
2003-08-01,55.667316,2003–2015
2003-09-01,46.965374,2003–2015
2003-10-01,40.819977,2003–2015
2003-11-01,36.392673,2003–2015
2003-12-01,34.19786,2003–2015
2004-01-01,32.24051,2003–2015
2004-02-01,31.471334,2003–2015
2004-03-01,31.540401,2003–2015
2004-04-01,33.250793,2003–2015
2004-05-01,37.03862,2003–2015
2004-06-01,42.4236,2003–2015
2004-07-01,48.83394,2003–2015
2004-08-01,50.75364,2003–2015
2004-09-01,46.76031,2003–2015
2004-10-01,42.196365,2003–2015
2004-11-01,38.259323,2003–2015
2004-12-01,34.94787,2003–2015
2005-01-01,32.77453,2003–2015
2005-02-01,30.893595,2003–2015
2005-03-01,31.706015,2003–2015
2005-04-01,34.115498,2003–2015
2005-05-01,39.85295,2003–2015
2005-06-01,46.162746,2003–2015
2005-07-01,49.715565,2003–2015
2005-08-01,50.515713,2003–2015
2005-09-01,47.17311,2003–2015
2005-10-01,42.235447,2003–2015
2005-11-01,38.602097,2003–2015
2005-12-01,33.826134,2003–2015
2006-01-01,31.50251,2003–2015
2006-02-01,31.157183,2003–2015
2006-03-01,31.520473,2003–2015
2006-04-01,34.59604,2003–2015
2006-05-01,40.464165,2003–2015
2006-06-01,43.51882,2003–2015
2006-07-01,52.420864,2003–2015
2006-08-01,50.361485,2003–2015
2006-09-01,46.428787,2003–2015
2006-10-01,43.261047,2003–2015
2006-11-01,39.54973,2003–2015
2006-12-01,36.430622,2003–2015
2007-01-01,34.056362,2003–2015
2007-02-01,33.47496,2003–2015
2007-03-01,33.35058,2003–2015
2007-04-01,36.148056,2003–2015
2007-05-01,41.650978,2003–2015
2007-06-01,44.8684,2003–2015
2007-07-01,49.641525,2003–2015
2007-08-01,49.425835,2003–2015
2007-09-01,46.612953,2003–2015
2007-10-01,41.8189,2003–2015
2007-11-01,36.933064,2003–2015
2007-12-01,34.080917,2003–2015
2008-01-01,32.637287,2003–2015
2008-02-01,32.150066,2003–2015
2008-03-01,32.430782,2003–2015
2008-04-01,34.37044,2003–2015
2008-05-01,39.391903,2003–2015
2008-06-01,45.335407,2003–2015
2008-07-01,50.321896,2003–2015
2008-08-01,52.51463,2003–2015
2008-09-01,47.92298,2003–2015
2008-10-01,42.028454,2003–2015
2008-11-01,38.74599,2003–2015
2008-12-01,35.020966,2003–2015
2009-01-01,32.848145,2003–2015
2009-02-01,32.070847,2003–2015
2009-03-01,32.516308,2003–2015
2009-04-01,34.557487,2003–2015
2009-05-01,40.651646,2003–2015
2009-06-01,45.79739,2003–2015
2009-07-01,49.39776,2003–2015
2009-08-01,53.317295,2003–2015
2009-09-01,48.740967,2003–2015
2009-10-01,43.383076,2003–2015
2009-11-01,37.784946,2003–2015
2009-12-01,34.973186,2003–2015
2010-01-01,32.177322,2003–2015
2010-02-01,31.945164,2003–2015
2010-03-01,32.403473,2003–2015
2010-04-01,34.83224,2003–2015
2010-05-01,38.57736,2003–2015
2010-06-01,44.497383,2003–2015
2010-07-01,51.027603,2003–2015
2010-08-01,49.442226,2003–2015
2010-09-01,47.21585,2003–2015
2010-10-01,42.294327,2003–2015
2010-11-01,38.060085,2003–2015
2010-12-01,34.592598,2003–2015
2011-01-01,32.47529,2003–2015
2011-02-01,31.160654,2003–2015
2011-03-01,31.977135,2003–2015
2011-04-01,35.420944,2003–2015
2011-05-01,38.9025,2003–2015
2011-06-01,43.867836,2003–2015
2011-07-01,50.18344,2003–2015
2011-08-01,51.29754,2003–2015
2011-09-01,49.118996,2003–2015
2011-10-01,42.7662,2003–2015
2011-11-01,38.39721,2003–2015
2011-12-01,36.155582,2003–2015
2012-01-01,33.638443,2003–2015
2012-02-01,31.735006,2003–2015
2012-03-01,32.443047,2003–2015
2012-04-01,35.107227,2003–2015
2012-05-01,37.551178,2003–2015
2012-06-01,44.7933,2003–2015
2012-07-01,49.7646,2003–2015
2012-08-01,53.348312,2003–2015
2012-09-01,48.399277,2003–2015
2012-10-01,43.83235,2003–2015
2012-11-01,38.696823,2003–2015
2012-12-01,34.881695,2003–2015
2013-01-01,32.792576,2003–2015
2013-02-01,31.816511,2003–2015
2013-03-01,32.572956,2003–2015
2013-04-01,35.02887,2003–2015
2013-05-01,38.12132,2003–2015
2013-06-01,43.921066,2003–2015
2013-07-01,49.983414,2003–2015
2013-08-01,52.144596,2003–2015
2013-09-01,48.48565,2003–2015
2013-10-01,43.769463,2003–2015
2013-11-01,40.110756,2003–2015
2013-12-01,35.78886,2003–2015
2014-01-01,34.332417,2003–2015
2014-02-01,33.674107,2003–2015
2014-03-01,33.637344,2003–2015
2014-04-01,35.616436,2003–2015
2014-05-01,38.58846,2003–2015
2014-06-01,42.969624,2003–2015
2014-07-01,49.011196,2003–2015
2014-08-01,49.72433,2003–2015
2014-09-01,47.572796,2003–2015
2014-10-01,44.75885,2003–2015
2014-11-01,40.127857,2003–2015
2014-12-01,37.800014,2003–2015
2015-01-01,35.19246,2003–2015
2015-02-01,33.351887,2003–2015
2015-03-01,32.947285,2003–2015
2015-04-01,32.568157,2003–2015
2015-05-01,37.60031,2003–2015
2015-06-01,45.088886,2003–2015
2015-07-01,53.344246,2003–2015
2015-08-01,52.5174,2003–2015
2015-09-01,48.256878,2003–2015
2015-10-01,41.85869,2003–2015
2015-11-01,38.577713,2003–2015
2015-12-01,36.133286,2003–2015
2016-01-01,33.802116,2016–2025
2016-02-01,33.648247,2016–2025
2016-03-01,33.796413,2016–2025
2016-04-01,36.186356,2016–2025
2016-05-01,38.049473,2016–2025
2016-06-01,42.672947,2016–2025
2016-07-01,50.6378,2016–2025
2016-08-01,50.91348,2016–2025
2016-09-01,49.450832,2016–2025
2016-10-01,44.409542,2016–2025
2016-11-01,39.572292,2016–2025
2016-12-01,36.436264,2016–2025
2017-01-01,33.51005,2016–2025
2017-02-01,33.940804,2016–2025
2017-03-01,34.462055,2016–2025
2017-04-01,37.078068,2016–2025
2017-05-01,38.71883,2016–2025
2017-06-01,46.904194,2016–2025
2017-07-01,53.067425,2016–2025
2017-08-01,54.313694,2016–2025
2017-09-01,48.20493,2016–2025
2017-10-01,43.464005,2016–2025
2017-11-01,38.892387,2016–2025
2017-12-01,35.489822,2016–2025
2018-01-01,33.9484,2016–2025
2018-02-01,33.09842,2016–2025
2018-03-01,33.450768,2016–2025
2018-04-01,36.31849,2016–2025
2018-05-01,40.75042,2016–2025
2018-06-01,40.112457,2016–2025
2018-07-01,50.20192,2016–2025
2018-08-01,55.317184,2016–2025
2018-09-01,50.792515,2016–2025
2018-10-01,44.75138,2016–2025
2018-11-01,40.413113,2016–2025
2018-12-01,36.569805,2016–2025
2019-01-01,33.93075,2016–2025
2019-02-01,33.201828,2016–2025
2019-03-01,33.580143,2016–2025
2019-04-01,35.801304,2016–2025
2019-05-01,39.0866,2016–2025
2019-06-01,46.56562,2016–2025
2019-07-01,54.36828,2016–2025
2019-08-01,54.27623,2016–2025
2019-09-01,50.152695,2016–2025
2019-10-01,45.59023,2016–2025
2019-11-01,40.532795,2016–2025
2019-12-01,37.253647,2016–2025
2020-01-01,35.2361,2016–2025
2020-02-01,34.072773,2016–2025
2020-03-01,34.101307,2016–2025
2020-04-01,34.39439,2016–2025
2020-05-01,42.31551,2016–2025
2020-06-01,48.287186,2016–2025
2020-07-01,52.122143,2016–2025
2020-08-01,54.966564,2016–2025
2020-09-01,51.21096,2016–2025
2020-10-01,43.24589,2016–2025
2020-11-01,39.117954,2016–2025
2020-12-01,36.16061,2016–2025
2021-01-01,34.307182,2016–2025
2021-02-01,33.65747,2016–2025
2021-03-01,34.229263,2016–2025
2021-04-01,35.85121,2016–2025
2021-05-01,39.37321,2016–2025
2021-06-01,49.287094,2016–2025
2021-08-01,54.2314,2016–2025
2021-09-01,50.16405,2016–2025
2021-10-01,43.22256,2016–2025
2021-11-01,39.472725,2016–2025
2021-12-01,36.530396,2016–2025
2022-01-01,34.229794,2016–2025
2022-02-01,33.00548,2016–2025
2022-03-01,32.649075,2016–2025
2022-04-01,35.587116,2016–2025
2022-05-01,43.39224,2016–2025
2022-06-01,52.633316,2016–2025
2022-07-01,57.288452,2016–2025
2022-08-01,55.922363,2016–2025
2022-09-01,51.70827,2016–2025
2022-10-01,45.706596,2016–2025
2022-11-01,41.930935,2016–2025
2022-12-01,37.53826,2016–2025
2023-01-01,35.951782,2016–2025
2023-02-01,33.51616,2016–2025
2023-03-01,35.155163,2016–2025
2023-04-01,36.696552,2016–2025
2023-05-01,41.598614,2016–2025
2023-06-01,50.3161,2016–2025
2023-07-01,56.808743,2016–2025
2023-08-01,54.038845,2016–2025
2023-09-01,50.522827,2016–2025
2023-10-01,47.248062,2016–2025
2023-11-01,41.372654,2016–2025
2023-12-01,37.601242,2016–2025
2024-01-01,35.690228,2016–2025
2024-02-01,35.209633,2016–2025
2024-03-01,35.681637,2016–2025
2024-04-01,37.946175,2016–2025
2024-05-01,42.006935,2016–2025
2024-06-01,48.497513,2016–2025
2024-07-01,55.41812,2016–2025
2024-08-01,58.9171,2016–2025
2024-09-01,51.10548,2016–2025
2024-10-01,44.74858,2016–2025
2024-11-01,41.24196,2016–2025
2024-12-01,37.259346,2016–2025
2025-01-01,35.31932,2016–2025
2025-02-01,34.883194,2016–2025
2025-03-01,35.45473,2016–2025
2025-04-01,37.529453,2016–2025
2025-05-01,42.804264,2016–2025
2025-06-01,49.607998,2016–2025
2025-07-01,55.383682,2016–2025
2025-08-01,54.871136,2016–2025
2025-09-01,50.76491,2016–2025
2025-10-01,43.93246,2016–2025
2025-11-01,40.409424,2016–2025
2025-12-01,36.91713,2016–2025
2026-01-01,35.63107,2016–2025
